sample_id,B_Plasma,Erythroid_Baso,Myeloid_APC,T_NK
T10_Dx,0.255474,0.080292,0.262774,0.401460
T10_EOI,0.229927,0.374088,0.317518,0.078467
T11_Rel,0.115597,0.652174,0.100069,0.132160
T1_Dx,0.083900,0.421769,0.340136,0.154195
T2_Dx,0.012526,0.014266,0.204593,0.768615
T3_Dx,0.037462,0.001118,0.179480,0.781940
T4_Dx,0.096096,0.018018,0.808408,0.077477
T5_Dx,0.010229,0.005415,0.968712,0.015644
T6_Dx,0.037191,0.008311,0.065863,0.888635
T6_EOI,0.066667,0.697101,0.028986,0.207246
T7_Dx,0.070106,0.002646,0.750000,0.177249
T7_EOI,0.109726,0.490025,0.069410,0.330840
T8_Dx,0.010833,0.025402,0.271199,0.692566
T8_EOI,0.151163,0.306202,0.162791,0.379845
T9_Dx,0.089443,0.035191,0.671554,0.203812
T9_EOI,0.196108,0.166168,0.402695,0.235030
