sample_id,B_Plasma,Erythroid_Baso,HSPC_Prog,Myeloid_APC,T_NK,Unknown
AML10_DX,0.5631768953068592,0.0036101083032490976,0.036101083032490974,0.02888086642599278,0.3574007220216607,0.010830324909747292
AML11_DX,0.06921348314606741,0.10651685393258427,0.025617977528089888,0.006292134831460674,0.7892134831460674,0.003146067415730337
AML12_DX,0.36619718309859156,0.018779342723004695,0.018779342723004695,0.0,0.5915492957746479,0.004694835680751174
AML13_DX,0.1532349602724177,0.08059023836549375,0.00681044267877412,0.0005675368898978433,0.7587968217934166,0.0
AML14_DX,0.14881780250347706,0.17524339360222532,0.06258692628650904,0.07093184979137691,0.5424200278164116,0.0
AML15_DX,0.14109742441209405,0.06159014557670773,0.008958566629339306,0.014557670772676373,0.7737961926091825,0.0
AML16_DX,0.2422062350119904,0.05515587529976019,0.002398081534772182,0.0007993605115907274,0.6994404476418865,0.0
AML17_DX,0.27674418604651163,0.023255813953488372,0.0069767441860465115,0.0,0.6930232558139535,0.0
AML18_DX,0.2222222222222222,0.061507936507936505,0.005952380952380952,0.0,0.7103174603174603,0.0
AML19_DX,0.2230769230769231,0.0038461538461538464,0.0,0.0,0.7730769230769231,0.0
AML1_DX,0.09076743280093494,0.17997662641215426,0.45111024542267236,0.19127386053759252,0.08609271523178808,0.0007791195948578107
AML20_DX,0.5647058823529412,0.047058823529411764,0.004411764705882353,0.01764705882352941,0.35441176470588237,0.011764705882352941
AML21_DX,0.18582375478927204,0.2471264367816092,0.013409961685823755,0.017241379310344827,0.5363984674329502,0.0
AML22_DX,0.08974358974358974,0.056776556776556776,0.07142857142857142,0.0018315018315018315,0.7802197802197802,0.0
AML23_DX,0.22570532915360503,0.0219435736677116,0.04075235109717868,0.07523510971786834,0.6363636363636364,0.0
AML24_DX,0.1366742596810934,0.214123006833713,0.02733485193621868,0.018223234624145785,0.5990888382687927,0.004555808656036446
AML25_DX,0.13856427378964942,0.02337228714524207,0.015025041736227046,0.00333889816360601,0.8196994991652755,0.0
AML26_DX,0.19927536231884058,0.14492753623188406,0.050724637681159424,0.03260869565217391,0.572463768115942,0.0
AML27_DX,0.3084677419354839,0.018145161290322582,0.0907258064516129,0.006048387096774193,0.5725806451612904,0.004032258064516129
AML2_DX,0.14218009478672985,0.35071090047393366,0.02843601895734597,0.08530805687203792,0.3886255924170616,0.004739336492890996
AML3_DX,0.09701492537313433,0.03171641791044776,0.054104477611940295,0.014925373134328358,0.7705223880597015,0.03171641791044776
AML4_DX,0.4393063583815029,0.01348747591522158,0.0,0.0,0.5472061657032755,0.0
AML5_DX,0.5074712643678161,0.021839080459770115,0.010344827586206896,0.005747126436781609,0.4540229885057471,0.0005747126436781609
AML6_DX,0.40696686491079015,0.008496176720475786,0.041631265930331354,0.009345794392523364,0.5318606627017842,0.0016992353440951572
AML7_DX,0.17647058823529413,0.029411764705882353,0.11764705882352941,0.029411764705882353,0.6470588235294118,0.0
AML8_DX,0.05042016806722689,0.31092436974789917,0.06302521008403361,0.0,0.5756302521008403,0.0
AML9_DX,0.31666666666666665,0.029487179487179487,0.07179487179487179,0.007692307692307693,0.5743589743589743,0.0
